Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-05,103.63
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-06,103.7
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-07,103.71
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-08,103.74
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-09,103.73
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-12,103.76
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-13,103.72
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-14,103.76
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-15,103.79
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-16,103.78
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-bond-2029-ca135087q988?miRedirects=1,"1,130328741,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20260105&to=20260119",CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,2.0,3/1/2024,2/28/2029,No,2026-01-19,103.74
