Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-05,102.22
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-06,102.33
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-07,102.37
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-08,102.34
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-09,102.31
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-12,102.35
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-13,102.29
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-14,102.33
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-15,102.43
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-16,102.42
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-bond-2029-ca135087r895?miRedirects=1,"1,134387959,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20260105&to=20260119",CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,2.0,9/1/2024,8/31/2029,No,2026-01-19,102.32
