Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-05,99.165
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-06,99.085
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-07,99.245
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-08,99.17
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-09,99.255
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-12,99.21
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-13,99.185
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-14,99.355
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-15,99.365
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202530-bond-2030-ca135087t388?miRedirects=1,"1,144389623,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,144389623,1330,184&from=20260105&to=20260119",CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,2.0,9/1/2025,8/31/2030,No,2026-01-16,99.315
