Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-05,101.34
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-06,101.41
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-07,101.4
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-08,101.43
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-09,101.42
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-12,101.45
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-13,101.42
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-14,101.43
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-15,101.48
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-16,101.47
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1,"1,126528699,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20260105&to=20260119",CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,2.0,9/1/2023,8/31/2028,No,2026-01-19,101.45
