Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-05,100.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-06,100.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-07,100.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-08,100.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-09,100.87
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-12,100.86
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-13,100.86
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-14,100.86
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-15,100.86
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-16,100.85
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1,"1,135402145,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20260105&to=20260119",CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,2/1/2026,,2.0,8/1/2024,8/2/2026,No,2026-01-19,100.84
