Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-05,100.545
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-06,100.56
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-07,100.57
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-08,100.565
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-09,100.565
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-12,100.57
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-13,100.555
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-14,100.58
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-15,100.585
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-16,100.585
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1,"1,139591564,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20260105&to=20260119",CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,2/1/2026,,2.0,2/1/2025,1/31/2027,No,2026-01-19,100.575
