Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-05,99.94
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-06,99.92
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-07,99.97
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-08,99.96
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-09,99.97
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-12,99.97
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-13,99.95
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-14,100.0
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-15,100.0
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1,"1,145462038,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,145462038,1330,184&from=20260105&to=20260119",CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,2/1/2026,,2.0,8/1/2025,7/31/2027,No,2026-01-16,100.01
